review_id,product,review_date,rating,review_text,true_label
REV0001,Air Fryer,2024-11-29,3,"It's a Air Fryer, works as described, no major complaints.",neutral
REV0002,Wireless Earbuds,2024-07-06,4,"I'm impressed with this Wireless Earbuds, highly recommend it to everyone.",positive
REV0003,Backpack,2024-01-20,4,"I'm impressed with this Backpack, highly recommend it to everyone.",positive
REV0004,Wireless Earbuds,2024-02-16,4,Absolutely love this Wireless Earbuds! Works perfectly and exceeded my expectations.,positive
REV0005,Backpack,2024-04-24,4,Fantastic Backpack! Battery life and performance are outstanding.,positive
REV0006,Backpack,2024-10-26,3,"The Backpack matches the description, decent for the price.",neutral
REV0007,Running Shoes,2024-10-12,4,"Great Running Shoes, very happy with the quality and fast delivery.",positive
REV0008,Smartwatch,2024-10-19,4,"Great Smartwatch, very happy with the quality and fast delivery.",positive
REV0009,Air Fryer,2024-02-22,1,"Worst Air Fryer I've ever bought, completely useless.",negative
REV0010,Backpack,2024-02-19,2,"Waste of money, this Backpack broke within a week.",negative
REV0011,Backpack,2024-11-12,1,The Backpack arrived damaged and the return process was a nightmare.,negative
REV0012,Smartwatch,2024-06-09,5,"I'm impressed with this Smartwatch, highly recommend it to everyone.",positive
REV0013,Running Shoes,2024-06-02,2,"I hate this Running Shoes, customer service was no help either.",negative
REV0014,Smartwatch,2024-02-11,1,"Worst Smartwatch I've ever bought, completely useless.",negative
REV0015,Backpack,2024-08-17,5,Excellent build quality and the Backpack performs really well.,positive
REV0016,Air Fryer,2024-09-19,1,"Terrible Air Fryer, stopped working after two days. Very disappointed.",negative
REV0017,Running Shoes,2024-09-07,4,"This Running Shoes is amazing, best purchase I've made this year.",positive
REV0018,Running Shoes,2024-10-12,4,"Super comfortable and reliable Running Shoes, worth every penny.",positive
REV0019,Backpack,2024-06-23,2,"Disappointed with this Backpack, it feels cheap and flimsy.",negative
REV0020,Air Fryer,2024-02-05,2,The Air Fryer arrived damaged and the return process was a nightmare.,negative
REV0021,Wireless Earbuds,2024-12-22,3,"It's a Wireless Earbuds, works as described, no major complaints.",neutral
REV0022,Wireless Earbuds,2024-11-27,5,"Super comfortable and reliable Wireless Earbuds, worth every penny.",positive
REV0023,Backpack,2024-05-25,3,"It's a Backpack, works as described, no major complaints.",neutral
REV0024,Running Shoes,2024-01-12,3,"This Running Shoes is average, similar to other ones I've used.",neutral
REV0025,Running Shoes,2024-09-09,4,"I'm impressed with this Running Shoes, highly recommend it to everyone.",positive
REV0026,Wireless Earbuds,2024-05-06,4,"This Wireless Earbuds is amazing, best purchase I've made this year.",positive
REV0027,Running Shoes,2024-02-11,5,Fantastic Running Shoes! Battery life and performance are outstanding.,positive
REV0028,Smartwatch,2024-03-11,5,"I'm impressed with this Smartwatch, highly recommend it to everyone.",positive
REV0029,Running Shoes,2024-12-27,3,"This Running Shoes is average, similar to other ones I've used.",neutral
REV0030,Running Shoes,2024-07-13,3,"Functional Running Shoes, but the design could be improved.",neutral
REV0031,Smartwatch,2024-04-28,4,"Great Smartwatch, very happy with the quality and fast delivery.",positive
REV0032,Smartwatch,2024-05-14,4,Fantastic Smartwatch! Battery life and performance are outstanding.,positive
REV0033,Air Fryer,2024-11-08,5,Excellent build quality and the Air Fryer performs really well.,positive
REV0034,Backpack,2024-08-21,4,"Great Backpack, very happy with the quality and fast delivery.",positive
REV0035,Backpack,2024-02-23,5,Excellent build quality and the Backpack performs really well.,positive
